labeler;weight
2082767;12.691971875619199
2098082;14.17899988135513
1979136;18.260324323499525
2094824;11.869255065917969
2109038;8.418210347493488
2116235;15.283339818318684
2124667;15.695629119873047
4bc42f4d53caa5054280;9.449344211154514
9f411ff9f245a0047ee4;21.057004398769802
1713211;16.58442045512952
2117035;15.748883545007677
bdf5990fde5f1f20b69c;5.566310882568359
db7d7efffc6cb7cdc591;35.19223690032959
e66d939e45791a2aab3f;20.834159886958115
1543574;12.313011714390345
1966204;9.827016483653676
2102643;18.380687380797113
2110901;18.7627565293085
800535;8.980729567442888
91a00754acac5cfc5fc0;14.310646057128906
1484362;6.35492205619812
1566688;9.565237106815461
1882066;12.234973907470703
2106112;13.577589781387992
281533;14.689821624755858
386edfff9070d945dad8;20.64380645751953
3e83f4e9a6c866c4b2d0;12.358933403378442
88273;9.2517670164717
1734117;14.381468296051025
2097713;12.357279204044309
7aedd5101a8538bd72a7;72.0942497253418
8db8c4aae63d01956d7b;18.210665384928383
b1bb6fe52ce2e91402fc;41.796228620741104
edeabbfa32cc578fbfc8;25.163555145263672
118490242c251318c0bb;11.00057874407087
1393534;10.142344462720654
1628066;14.342867533365885
1802523;7.958343505859375
2073235;12.844667434692383
29007d9b70faf2de4ce5;14.694246025972587
3472;15.965049743652344
b66254aba82cda354add;9.985549361617476
1765790;14.081711604677396
1961855;27.453967503138948
1978545;15.354894638061523
2095440;20.06257176399231
2102409;22.33561107090541
2108007;17.212320370144315
399789;8.263670012008312
a1e12ef88cb489161f9f;67.73242950439453
1989269;12.145486999960507
2012810;9.239431527944712
2094512;14.23605115790116
2105952;13.679903832034787
1576918;13.37129275004069
1726890;13.569766114660576
1781631;17.257361941867405
ac15b50cdcf333273965;15.562629699707031
2102760;13.396644592285156
32e712494f6e1c0cc05e;12.639766269259983
4d865f9c4a9f9b16f9b7;10.708662804136885
617828;10.562971707048087
2096218;43.80926404680525
2123305;20.336142453280363
1836105;15.010773384809129
2100603;11.72477465409499
2101113;6.947162233549974
2102215;10.226921413255774
2117738;11.320776548783599
1929363;6.4016122084397535
1970989;10.494251251220703
2102425;14.799418272795501
2109276;20.06916046142578
b404fd533af60730ced6;7.615651024712457
1466936;9.675153096516926
2106545;11.05031967163086
a2deef54c12013bc7111;3.50189208984375
1679426;8.11659662347091
1787248;12.307682037353516
1849412;10.303465525309246
1981286;14.314777794338408
1def2aaacc91356622c9;11.306075392098263
2060825;5.741684846203737
2110202;10.243521238628187
2823af98b8966935d163;12.738947868347166
28fff5468959249096d7;29.347705841064453
1434078;17.941840489705406
1807346;9.678414288689108
1946335;13.34012222290039
2102786;16.07557932535807
782596;10.862891353777986
870887;13.69412903933181
1391566;8.154447502064928
2083959;15.449979865693475
2106861;19.50464563055353
2114238;16.522037065946137
426844;17.610716819763184
089bcb099f849ab3e347;21.24361594518026
176743;18.23132038116455
2107207;7.1090733563458475
2110309;20.53337574005127
2120005;17.304088183098436
d1416dad2e84a2ccdeb8;5.485820770263672
1634167;6.117839813232422
1742237;37.926821275190875
1917214;12.57330576578776
1998042;9.123992919921875
2072483;34.99927520751953
2090461;12.481718063354492
2108468;11.67214840382069
c051c931d442cf6db684;59.7865240914481
cb43f3fbece159da0b47;28.158128261566162
1941740;19.059857455166902
2102066;9.113141967029106
2102094;11.49010956287384
2109625;9.375074576427586
2120373;12.8741848057714
2126718d13381e6037d6;13.360656391490588
a4f2bde68a06b40c8583;9.319043159484863
2030441;16.863393130367747
2102890;12.823939323425293
2047942;21.009461776069973
2095912;14.228101337657256
2096758;18.93700361251831
2102028;23.928954601287842
2102814;31.97060426076253
2107409;16.4454562323434
403760;27.52959100823653
2061593;17.489639369920752
734c5362d95b023d82f4;37.18700408935547
1514798;11.727919401945892
2014840;16.157686710357666
2102706;8.123991224500868
2104831;14.71564402947059
2110211;5.992194584437779
2091480;6.73222541809082
2093369;16.420629131260203
7733;13.31670085589091
79594;15.218084614451339
aa46226ef77aeee116e4;11.163568496704102
1468123;34.70797249765107
2100104;13.185802459716797
2108354;18.125674878950598
e629b4813971b68e502d;33.59095764160156
2054802;9.589114285155432
2077298;10.120081434062882
c81be6981719be5b1c36;13.582873344421387
da6dcf2d13433e9892f0;27.085161209106445
09b073eac8273d03dd3f;58.40346018473307
4437889dd948b58eae92;45.943854836856616
62b6aeed25cc5bc64ff1;24.06620698816636
1799842;8.835712185612431
1964251;9.214055627808534
2005865;9.64220271391027
2106608;15.333278656005858
c0a7507fae9edef50501;15.011270281294703
1670043;25.41941890010127
1871698;21.461684615523726
2080410;9.00625721100838
2102626;9.772244278265505
2108008;14.020206530888876
2108315;16.71243332724535
d224c8ce4569edbab170;21.018199920654297
1666139;14.919688484885476
66b363c8e6dff2408dc9;17.534181806776257
2022840;6.825404013356855
4dee7f4bc921e5ed4f32;7.918021414015028
